,mean,variance
RXI$US_N.M.AL,0.1521505934453828,10.99671809477169
RXI$US_N.M.EU,0.002682657980503257,5.92818769864609
RXI$US_N.M.NZ,0.22021738313456024,9.690793464926188
RXI$US_N.M.UK,-0.1597790855129553,5.098969075932356
RXI_N.M.BZ,-0.12850657000854365,12.743631764765029
RXI_N.M.CA,-0.007876863688488549,4.380697253039814
RXI_N.M.CH,0.2539680988166061,0.21298737761636677
RXI_N.M.DN,0.0047994607676450545,5.81068364260792
RXI_N.M.HK,0.003935281077688042,0.014760902684785727
RXI_N.M.IN,-0.2839746215604711,4.784799907565598
RXI_N.M.JA,0.016617789664060356,6.4499701858658876
RXI_N.M.KO,-0.11078582629378848,7.5802724774124695
RXI_N.M.MA,0.06865079992231052,2.4249570964269838
RXI_N.M.MX,-0.23574746846506142,7.786813373800567
RXI_N.M.NO,-0.06599582137655242,7.7275380526876
RXI_N.M.SD,0.0011583661849738419,7.832406258434075
RXI_N.M.SF,-0.3691689081698882,12.837594222861
RXI_N.M.SI,0.19588010971244327,1.596185544823364
RXI_N.M.SL,-0.24054495103595985,1.289438344792359
RXI_N.M.SZ,0.28695136478236954,6.9177521693476365
RXI_N.M.TA,0.05951099700985618,1.2996760729844976
RXI_N.M.TH,0.14421493718040382,2.731770859964735
RXI_N.M.VE,-0.9148091768545694,25.52636737586013
